,age,recidivated,number_of_prior_crimes,months_in_jail,felony,misdemeanor,woman,man,black,y
3915,59,1,1,1,1,0,0,1,0,1
5984,45,0,0,0,1,0,1,0,1,1
6126,41,0,0,0,0,1,0,1,0,1
3996,57,0,1,1,1,0,0,1,1,1
6158,23,0,0,2,1,0,0,1,0,0
3652,35,0,0,1,0,1,1,0,0,1
3308,50,1,9,424,1,0,0,1,0,1
3657,23,0,2,1,0,1,1,0,0,1
2053,32,0,0,0,1,0,1,0,1,1
4102,20,1,0,1,1,0,0,1,0,1
1037,22,0,0,0,1,0,0,1,1,0
4907,30,1,0,2,1,0,1,0,0,1
1920,42,0,0,1,0,1,1,0,0,1
4916,32,0,3,120,1,0,0,1,0,1
695,29,0,16,17,1,0,0,1,1,0
2901,27,0,0,8,1,0,0,1,0,1
1082,37,1,1,0,0,1,0,1,0,1
4454,37,0,0,0,1,0,0,1,0,1
1871,31,0,1,13,1,0,0,1,1,1
3274,25,1,2,0,0,1,1,0,0,1
5754,63,0,0,0,0,1,1,0,0,1
999,42,0,0,3,0,1,0,1,0,1
4123,40,0,0,64,1,0,0,1,0,1
1038,20,1,8,1,1,0,0,1,0,0
932,30,1,5,7,1,0,1,0,0,0
4311,20,1,0,1,1,0,0,1,0,1
660,37,0,4,1,1,0,0,1,1,1
1972,31,0,0,1,1,0,0,1,0,1
2005,51,1,1,0,0,1,0,1,1,1
1425,61,0,1,2,0,1,0,1,1,1
2782,26,1,1,8,1,0,0,1,0,1
1865,23,0,2,237,1,0,0,1,1,1
811,41,0,5,1,1,0,0,1,0,1
380,20,1,0,22,1,0,0,1,0,0
3447,37,0,1,8,1,0,1,0,1,1
3571,21,1,6,0,1,0,0,1,1,0
4362,25,1,3,1,1,0,0,1,0,0
4177,24,0,1,0,1,0,0,1,1,1
869,75,0,5,1,1,0,1,0,1,1
2603,43,0,8,1,0,1,0,1,1,1
4041,34,1,5,0,1,0,1,0,0,1
3392,31,0,0,0,0,1,1,0,0,1
4035,37,1,6,1,1,0,0,1,0,1
2934,24,1,3,-1,1,0,0,1,1,0
1270,32,1,1,1,1,0,0,1,1,1
5916,31,0,0,67,1,0,0,1,0,1
5497,54,1,2,1,0,1,0,1,0,1
3219,30,0,0,56,0,1,0,1,0,1
5021,48,0,0,9,0,1,1,0,1,1
4729,24,0,0,0,1,0,1,0,1,1
2733,23,1,7,1,1,0,0,1,1,0
3449,20,1,1,1,0,1,0,1,0,1
4991,29,0,7,2,1,0,0,1,1,1
4642,38,0,0,0,1,0,1,0,0,1
4264,55,0,0,0,0,1,1,0,0,1
4542,57,1,0,-1,0,1,0,1,0,1
3951,40,0,2,1,0,1,0,1,0,1
2134,26,1,9,1,0,1,0,1,0,1
2802,43,0,4,47,1,0,0,1,0,1
1636,23,1,0,0,1,0,0,1,1,1
3037,36,1,3,0,1,0,1,0,1,1
3722,41,1,3,1,0,1,0,1,0,1
1102,51,1,7,14,1,0,0,1,0,1
2745,48,0,4,1,1,0,0,1,0,1
3973,24,0,0,0,1,0,1,0,0,1
4038,30,1,7,0,0,1,1,0,1,1
5360,60,0,2,10,0,1,0,1,0,1
2519,26,0,3,0,1,0,1,0,1,1
4389,34,1,13,18,1,0,0,1,0,0
5429,35,0,2,-1,1,0,0,1,1,1
1543,31,0,0,4,0,1,1,0,0,0
5203,35,0,1,0,1,0,0,1,1,0
4616,28,0,9,36,1,0,0,1,0,0
4302,47,1,28,117,1,0,1,0,0,0
4510,20,1,0,0,1,0,1,0,0,0
4418,29,1,8,0,1,0,0,1,0,1
4748,31,1,3,0,0,1,0,1,0,1
6039,51,0,0,-1,1,0,0,1,0,1
1389,21,0,0,-1,1,0,0,1,0,1
5508,26,1,2,21,1,0,0,1,1,1
2625,23,0,0,12,0,1,0,1,1,1
4381,22,1,1,0,0,1,0,1,1,0
5893,27,1,15,48,1,0,0,1,1,0
4792,50,1,7,7,0,1,1,0,0,1
840,22,0,0,0,0,1,1,0,1,1
4997,22,1,1,-1,1,0,0,1,1,0
1742,46,0,2,3,0,1,0,1,0,1
2416,50,1,24,32,0,1,0,1,1,0
1482,32,0,0,0,1,0,0,1,0,1
25,26,1,5,0,1,0,0,1,1,1
2245,54,0,1,0,1,0,0,1,0,1
829,35,0,1,9,0,1,0,1,1,1
2667,31,1,1,0,1,0,0,1,0,1
5477,29,1,3,0,1,0,0,1,1,1
2912,56,1,10,41,1,0,1,0,0,1
2694,41,0,2,1,0,1,0,1,0,1
3019,39,0,0,1,1,0,1,0,0,1
312,40,1,0,8,1,0,0,1,0,1
1181,59,0,1,5,1,0,1,0,0,1
195,41,0,0,0,0,1,0,1,1,1
1251,64,0,0,108,1,0,0,1,0,1
1365,43,0,9,0,1,0,0,1,0,1
4955,27,0,0,1,0,1,1,0,1,1
854,22,1,1,1,0,1,0,1,0,1
6046,49,0,2,82,0,1,1,0,0,1
1794,26,0,0,0,1,0,0,1,0,1
303,20,0,1,2,1,0,1,0,0,1
848,36,0,5,0,1,0,0,1,1,1
272,53,1,36,32,1,0,0,1,0,1
2425,23,1,2,6,1,0,0,1,1,0
4682,54,0,4,1,1,0,0,1,1,1
5540,52,1,0,4,0,1,0,1,1,1
1993,22,0,1,1,1,0,0,1,0,0
5982,46,1,2,64,1,0,0,1,1,1
3028,25,1,5,101,1,0,0,1,0,1
3471,26,0,1,7,0,1,0,1,1,1
4295,30,0,0,10,1,0,0,1,0,1
1240,30,0,6,6,1,0,0,1,0,1
250,24,0,0,1,1,0,0,1,0,1
3051,48,0,0,1,0,1,0,1,1,1
2107,36,0,1,-1,0,1,1,0,1,1
3462,27,0,1,26,1,0,1,0,1,1
2705,34,1,6,13,1,0,0,1,1,0
1523,23,1,1,1,1,0,0,1,1,1
5103,45,1,1,5,1,0,0,1,0,1
5771,31,1,3,0,0,1,1,0,1,1
2964,58,1,1,0,1,0,0,1,0,1
2617,21,1,1,86,1,0,0,1,1,0
6092,56,0,0,0,0,1,0,1,1,1
2958,33,0,4,7,1,0,0,1,1,1
2360,31,1,3,1,1,0,0,1,0,1
5675,34,1,2,0,1,0,0,1,1,1
3350,34,0,4,0,0,1,0,1,1,1
5837,32,1,6,9,0,1,0,1,0,1
4080,31,0,2,16,1,0,0,1,0,1
2846,57,0,0,77,0,1,1,0,1,1
1440,34,1,1,12,1,0,1,0,0,1
5450,21,0,1,4,1,0,1,0,1,0
3315,52,1,4,1,0,1,0,1,0,1
4335,20,0,0,0,1,0,0,1,1,1
3282,50,1,13,242,1,0,0,1,1,1
5802,26,0,1,3,1,0,1,0,0,0
2797,41,0,0,0,1,0,0,1,1,1
611,68,0,0,3,0,1,0,1,0,1
5056,39,0,1,13,1,0,0,1,1,1
2715,29,1,2,0,1,0,0,1,1,1
698,43,0,0,0,0,1,0,1,0,1
1069,53,0,1,0,0,1,1,0,0,1
187,37,1,4,1,1,0,0,1,0,1
5193,33,0,0,10,0,1,0,1,0,1
86,30,0,1,0,1,0,0,1,1,1
2731,24,0,0,1,1,0,0,1,1,0
5720,34,0,0,2,1,0,0,1,0,1
2557,62,0,3,0,0,1,0,1,0,1
668,37,0,3,28,1,0,1,0,1,1
4086,57,0,0,0,0,1,0,1,0,1
2786,23,1,0,1,0,1,0,1,1,1
377,24,0,0,0,0,1,0,1,0,1
2875,41,0,0,1,1,0,1,0,0,1
5145,20,1,0,2,1,0,1,0,0,0
3848,26,1,6,1,0,1,0,1,1,0
1622,31,0,0,0,0,1,1,0,0,1
3937,49,1,0,4,0,1,0,1,1,1
4701,37,0,7,1,1,0,0,1,1,1
292,39,0,0,0,0,1,0,1,0,1
2764,27,1,0,1,1,0,0,1,0,1
2392,29,0,1,0,0,1,0,1,1,1
4390,37,1,2,0,1,0,0,1,1,1
397,23,1,1,0,0,1,0,1,0,1
3689,27,1,1,0,1,0,1,0,1,1
2937,28,1,0,0,1,0,1,0,0,1
386,55,1,5,118,1,0,0,1,1,1
771,33,1,0,0,1,0,0,1,1,1
1371,44,0,6,1,1,0,0,1,1,1
1074,28,0,2,1,0,1,0,1,0,1
4809,24,1,4,1,1,0,0,1,1,1
4968,25,0,0,0,0,1,1,0,0,1
3975,27,1,15,30,1,0,0,1,1,0
4633,24,1,5,6,1,0,0,1,1,0
5185,43,0,2,0,1,0,0,1,0,1
300,29,0,2,50,0,1,0,1,1,1
5632,42,0,1,0,1,0,1,0,1,1
991,27,1,3,3,1,0,1,0,1,0
3977,55,0,0,0,1,0,0,1,0,1
463,44,0,1,0,0,1,0,1,1,1
3291,30,1,4,1,1,0,1,0,0,1
3637,29,1,7,0,0,1,0,1,1,0
4951,21,0,1,0,1,0,0,1,0,0
3790,36,0,0,0,0,1,1,0,0,1
5259,50,0,15,1,0,1,0,1,1,0
3985,40,0,0,19,1,0,0,1,0,1
4770,47,1,7,0,1,0,1,0,1,0
246,34,0,5,0,0,1,0,1,1,1
3799,34,0,1,2,1,0,1,0,1,1
3201,22,1,2,0,1,0,0,1,1,1
1249,30,1,15,1,1,0,0,1,1,0
2209,38,1,3,1,1,0,0,1,0,0
138,30,0,1,70,1,0,0,1,1,1
4536,24,1,2,2,1,0,0,1,0,1
4466,37,0,0,0,0,1,1,0,0,1
4788,25,1,10,7,1,0,0,1,0,0
1230,52,1,15,0,0,1,0,1,1,1
1710,61,0,5,12,1,0,0,1,1,1
4883,25,0,0,-1,1,0,0,1,0,1
5253,54,0,21,0,1,0,0,1,1,1
5515,29,1,0,3,0,1,0,1,0,1
1727,25,0,1,1,1,0,0,1,1,1
2527,22,0,0,5,1,0,1,0,1,1
515,59,0,0,0,0,1,1,0,0,1
5252,34,0,4,0,1,0,0,1,0,1
976,23,1,2,1,1,0,0,1,1,1
2462,34,0,0,1,0,1,0,1,0,1
2863,23,0,1,1,0,1,1,0,0,1
5510,28,1,6,1,0,1,0,1,0,1
5268,25,1,2,0,1,0,1,0,0,0
5218,31,0,0,2,1,0,0,1,0,1
1624,26,1,6,18,1,0,0,1,1,0
1197,34,0,0,0,1,0,0,1,0,1
5969,32,1,6,130,1,0,0,1,1,0
5058,48,0,1,0,1,0,0,1,0,1
3007,21,1,0,7,1,0,0,1,1,0
2909,41,1,4,-1,0,1,0,1,1,1
3566,22,0,1,0,1,0,0,1,0,1
6123,29,1,7,4,1,0,0,1,1,1
5373,46,0,1,0,1,0,1,0,0,1
3490,44,0,2,1,1,0,0,1,0,1
4906,27,0,8,3,1,0,1,0,1,1
6037,33,1,2,1,0,1,0,1,0,1
4966,24,1,2,0,1,0,0,1,1,1
3024,22,1,2,16,1,0,0,1,1,1
2397,53,0,1,21,1,0,0,1,0,1
5844,34,1,17,39,1,0,0,1,0,1
2000,32,1,0,7,0,1,1,0,0,1
3963,25,0,3,7,1,0,0,1,0,1
1256,28,0,2,49,1,0,0,1,0,1
5868,71,0,3,0,0,1,0,1,0,1
2776,38,0,2,1,0,1,0,1,0,1
1540,46,0,2,3,1,0,1,0,0,1
1132,39,0,0,0,1,0,0,1,0,1
2041,55,0,1,0,1,0,0,1,1,1
3607,34,0,1,1,1,0,0,1,1,1
5238,50,1,3,33,1,0,0,1,0,0
3995,33,0,0,0,1,0,1,0,0,1
2401,21,0,1,13,1,0,0,1,1,0
3111,33,1,0,0,1,0,0,1,0,1
4636,28,0,7,1,1,0,0,1,1,0
1732,32,0,0,0,0,1,1,0,0,1
2759,23,1,4,143,1,0,0,1,1,0
288,47,0,3,0,1,0,0,1,1,1
328,28,0,5,51,1,0,0,1,1,0
2150,28,0,5,136,1,0,0,1,1,0
6148,36,0,0,0,0,1,0,1,0,1
3583,53,0,1,0,1,0,0,1,0,1
3298,24,1,2,1,1,0,0,1,1,1
3396,30,1,0,0,0,1,0,1,1,1
2925,31,0,0,9,0,1,0,1,0,1
4607,21,0,0,1,1,0,0,1,1,1
2454,73,0,0,1,0,1,0,1,0,1
2199,21,0,0,1,1,0,1,0,1,1
2921,53,0,0,0,0,1,1,0,0,1
5150,52,1,0,0,0,1,1,0,0,1
5051,43,1,0,1,1,0,1,0,0,1
5136,31,1,12,40,0,1,0,1,1,0
5221,39,0,4,118,1,0,0,1,1,0
4766,34,0,15,1,1,0,0,1,0,1
979,21,1,0,1,1,0,0,1,1,0
1050,32,0,1,-1,1,0,0,1,1,1
490,49,1,2,0,0,1,1,0,0,1
2417,37,1,4,2,0,1,0,1,0,1
5499,37,0,1,0,0,1,0,1,0,1
3495,28,1,3,0,1,0,0,1,0,1
4775,20,1,0,0,1,0,0,1,0,1
1506,54,0,0,-1,0,1,0,1,0,1
3923,24,0,2,32,1,0,0,1,0,1
4506,41,0,7,1,0,1,0,1,1,1
6027,22,0,0,0,0,1,1,0,0,1
4709,76,0,0,1,1,0,0,1,0,1
1412,20,1,0,1,1,0,0,1,1,1
4199,36,1,4,2,1,0,0,1,1,1
1745,30,1,5,2,1,0,0,1,0,1
37,29,1,2,0,0,1,0,1,0,1
5804,20,1,1,35,1,0,0,1,0,0
2635,35,1,12,0,1,0,0,1,1,0
2152,35,0,2,8,1,0,0,1,0,1
4611,47,1,2,1,1,0,0,1,0,1
2439,23,0,0,0,0,1,1,0,0,1
1586,24,0,3,0,0,1,0,1,0,1
2686,22,1,0,0,0,1,0,1,1,1
3872,33,1,18,0,1,0,0,1,1,0
510,22,1,11,0,1,0,0,1,1,0
4545,36,0,1,0,0,1,1,0,1,1
939,24,1,0,0,1,0,0,1,0,1
3674,34,0,0,0,1,0,0,1,0,1
3815,43,1,2,5,1,0,0,1,0,1
3357,21,1,0,1,1,0,1,0,1,0
2410,35,0,7,1,1,0,0,1,0,1
2516,26,1,10,0,1,0,0,1,0,1
706,43,0,20,1,1,0,0,1,1,0
357,48,1,1,0,0,1,0,1,0,1
3176,63,1,10,2,1,0,0,1,0,1
1006,38,0,0,1,1,0,0,1,0,1
3828,46,0,13,141,1,0,0,1,0,1
2323,41,1,1,1,1,0,0,1,0,1
2850,43,0,7,0,1,0,0,1,1,1
4211,44,0,1,1,0,1,0,1,0,1
821,29,1,10,23,1,0,0,1,1,1
2773,25,0,1,0,1,0,0,1,1,1
2493,64,0,8,0,1,0,0,1,0,1
2395,37,0,5,1,1,0,0,1,0,1
737,25,1,0,9,1,0,0,1,1,0
5214,29,0,0,0,0,1,1,0,0,1
725,24,1,3,1,1,0,0,1,0,1
406,34,1,4,31,1,0,0,1,0,1
4250,44,0,0,2,1,0,0,1,1,1
1151,23,0,0,2,0,1,1,0,1,1
481,24,0,8,-1,1,0,0,1,0,0
3239,47,0,0,1,0,1,0,1,0,1
3479,22,1,0,0,1,0,0,1,1,1
3309,32,0,3,1,0,1,1,0,1,1
2922,24,1,1,57,1,0,0,1,1,1
1645,69,0,0,0,0,1,0,1,0,1
2861,53,1,6,8,0,1,0,1,1,1
2589,39,1,10,0,1,0,1,0,0,1
3952,28,1,0,0,0,1,0,1,1,1
3796,27,1,9,1,1,0,0,1,1,0
226,22,0,0,2,1,0,0,1,0,1
799,26,1,5,3,1,0,0,1,1,0
3582,30,1,0,1,1,0,0,1,1,1
2957,30,1,0,0,0,1,0,1,0,1
1967,28,1,1,1,1,0,0,1,0,1
1429,30,1,2,43,1,0,1,0,0,0
3192,20,1,0,23,0,1,0,1,0,1
434,33,0,2,0,0,1,0,1,1,1
