,age,recidivated,number_of_prior_crimes,months_in_jail,felony,misdemeanor,woman,man,black,y
5797,29,0,5,258,1,0,0,1,0,1
3189,34,0,0,0,0,1,0,1,0,1
5782,38,0,0,1,0,1,0,1,0,1
1856,43,1,0,1,0,1,0,1,0,1
2121,39,0,0,-1,1,0,0,1,0,1
4153,50,0,1,1,1,0,0,1,0,1
3340,33,1,0,0,0,1,0,1,0,1
1844,31,0,1,1,0,1,0,1,0,1
2036,20,0,0,1,1,0,0,1,1,1
5368,28,0,0,191,1,0,1,0,1,1
3027,43,0,2,2,1,0,1,0,1,1
3721,28,1,0,0,0,1,0,1,1,1
4471,41,0,0,0,1,0,1,0,1,1
1252,21,1,0,0,1,0,1,0,0,1
5939,25,1,2,1,1,0,0,1,0,1
509,40,0,0,1,1,0,0,1,1,1
2980,35,1,0,2,0,1,1,0,1,1
2822,23,1,7,9,1,0,0,1,0,1
4222,41,0,0,1,0,1,1,0,1,1
4852,77,0,1,3,0,1,0,1,0,1
652,27,1,4,0,1,0,0,1,1,0
417,54,0,0,1,0,1,0,1,1,1
4552,42,0,16,24,1,0,1,0,1,1
3120,37,1,11,0,0,1,0,1,1,1
889,37,0,0,1,0,1,1,0,0,1
3966,24,0,0,0,1,0,1,0,0,1
5750,35,1,0,1,0,1,0,1,1,0
5248,29,0,8,5,0,1,0,1,1,0
6044,66,0,0,1,0,1,0,1,0,1
1618,21,1,1,0,0,1,0,1,0,1
657,41,1,8,0,1,0,0,1,1,1
3206,39,1,22,3,1,0,1,0,1,0
3332,53,0,18,1,1,0,0,1,0,1
5152,30,0,0,0,0,1,1,0,0,1
5916,31,0,0,67,1,0,0,1,0,1
3933,25,0,2,9,1,0,0,1,0,1
1864,38,1,37,30,0,1,0,1,1,1
4520,43,0,2,1,0,1,0,1,0,1
727,48,0,1,0,1,0,0,1,0,1
2912,56,1,10,41,1,0,1,0,0,1
325,48,1,23,360,1,0,0,1,0,0
3713,33,1,21,6,0,1,0,1,1,1
1718,35,0,1,1,1,0,0,1,0,1
2193,37,0,13,1,1,0,1,0,1,1
2745,48,0,4,1,1,0,0,1,0,1
6116,34,0,4,1,1,0,0,1,0,1
5320,30,0,3,0,1,0,1,0,1,1
1725,31,1,2,3,1,0,0,1,1,1
659,47,0,0,-1,0,1,0,1,0,1
2982,32,1,2,32,1,0,1,0,0,0
1927,49,1,0,1,1,0,0,1,0,1
3176,63,1,10,2,1,0,0,1,0,1
4963,50,0,1,9,1,0,0,1,0,1
1906,22,0,0,2,0,1,0,1,1,1
5232,47,0,0,2,1,0,0,1,0,1
4637,36,0,1,1,0,1,1,0,1,1
5190,55,0,0,1,0,1,1,0,0,1
2783,27,0,1,1,1,0,0,1,0,1
3295,29,1,2,8,1,0,1,0,0,1
1736,34,1,2,9,1,0,0,1,0,1
3314,32,1,1,3,0,1,0,1,1,1
2086,24,1,0,1,1,0,0,1,0,1
5371,22,1,0,7,1,0,0,1,1,1
68,26,1,1,2,1,0,1,0,1,1
3409,20,1,1,0,0,1,0,1,1,0
5220,24,1,8,49,1,0,0,1,1,1
1877,54,1,6,13,1,0,0,1,1,1
4726,27,0,0,1,0,1,0,1,0,1
3728,40,1,15,65,1,0,1,0,1,1
3770,31,0,0,2,0,1,1,0,1,1
3218,30,0,6,0,0,1,0,1,0,1
1296,36,1,1,106,1,0,0,1,0,1
5593,20,1,0,0,1,0,0,1,1,0
979,21,1,0,1,1,0,0,1,1,0
222,39,0,0,0,1,0,0,1,0,1
3724,33,0,3,2,0,1,1,0,1,1
1177,48,1,4,4,1,0,0,1,0,1
893,22,0,0,0,0,1,0,1,0,1
2232,29,0,0,1,0,1,0,1,0,1
77,36,1,9,3,1,0,0,1,1,1
1424,30,1,1,0,1,0,0,1,1,1
4882,29,0,0,0,1,0,1,0,0,1
600,46,0,2,19,1,0,1,0,0,0
703,35,1,13,5,1,0,0,1,1,0
5807,26,0,0,0,1,0,1,0,0,1
3726,20,1,1,6,1,0,0,1,1,1
1905,19,1,0,1,1,0,1,0,0,1
2399,38,0,0,1,0,1,0,1,0,1
5260,47,1,22,3,1,0,0,1,0,0
5818,26,1,3,2,0,1,0,1,1,1
5323,20,1,0,0,1,0,0,1,1,1
2692,27,0,3,0,1,0,1,0,1,1
5295,22,1,2,31,1,0,0,1,0,1
3361,23,1,0,2,1,0,1,0,1,1
1842,33,0,1,1,0,1,0,1,0,1
493,46,0,0,1,0,1,1,0,0,1
1455,47,0,6,5,1,0,0,1,1,1
1926,36,0,0,0,1,0,0,1,0,1
4240,37,0,0,13,1,0,0,1,1,1
1015,42,0,0,-1,0,1,0,1,1,1
57,27,1,6,30,1,0,0,1,1,1
4002,21,0,0,45,0,1,0,1,1,1
1672,51,0,5,0,0,1,0,1,1,1
3081,45,0,1,2,0,1,0,1,1,1
4443,67,0,8,1,1,0,0,1,1,1
3598,31,0,0,1,0,1,0,1,0,1
3930,23,0,0,1,1,0,0,1,0,1
1017,28,1,5,51,1,0,0,1,1,1
2529,30,1,3,12,1,0,1,0,1,1
750,33,1,4,1,1,0,0,1,0,1
1504,47,0,0,1,0,1,0,1,0,1
