,age,recidivated,number_of_prior_crimes,months_in_jail,felony,misdemeanor,woman,man,black,y
1863,59,0,0,0,1,0,0,1,0,1
4376,20,1,1,14,1,0,0,1,1,0
379,41,1,0,3,0,1,0,1,0,1
5896,27,1,5,6,0,1,0,1,1,1
2560,37,1,3,2,0,1,0,1,0,1
3072,72,0,7,-1,1,0,0,1,0,1
1878,24,1,17,130,1,0,0,1,1,0
6032,24,1,4,3,1,0,0,1,1,1
2052,33,0,0,1,1,0,0,1,0,1
3431,52,0,0,1,1,0,0,1,0,1
3969,26,0,1,1,0,1,0,1,0,1
5722,49,0,3,0,1,0,0,1,0,1
3281,29,0,0,0,0,1,0,1,0,1
3055,27,1,0,2,1,0,1,0,0,1
4054,22,0,0,1,0,1,1,0,1,1
2120,27,1,1,168,1,0,0,1,1,1
1329,22,0,0,1,1,0,0,1,1,1
5031,33,1,7,116,1,0,0,1,0,0
1925,26,1,0,5,0,1,0,1,0,1
2050,26,0,1,0,0,1,0,1,1,1
4007,34,0,1,4,1,0,0,1,0,1
3760,30,0,0,0,0,1,1,0,0,0
3690,65,0,0,0,1,0,1,0,1,1
2541,27,1,2,7,0,1,0,1,1,1
6085,74,0,2,9,1,0,0,1,0,1
1832,37,1,8,1,0,1,0,1,1,1
4079,21,1,3,9,1,0,0,1,1,1
5392,44,1,1,0,0,1,0,1,0,1
4640,28,1,5,26,0,1,0,1,0,1
1473,28,0,8,40,1,0,0,1,1,1
3012,23,0,0,1,0,1,0,1,1,0
3610,36,0,0,0,0,1,1,0,0,1
5086,20,1,3,-1,1,0,0,1,1,0
5038,69,1,0,2,0,1,0,1,0,1
1413,25,0,6,32,0,1,0,1,1,1
2775,29,0,1,43,0,1,0,1,0,1
42,49,0,0,0,0,1,0,1,0,1
5536,30,1,9,1,0,1,0,1,1,1
4063,24,1,1,1,1,0,0,1,0,1
2809,26,1,5,33,1,0,1,0,1,1
875,28,1,3,-1,0,1,0,1,1,1
5915,55,1,3,69,0,1,0,1,1,1
1287,22,1,0,0,1,0,1,0,1,1
5509,29,0,2,3,0,1,0,1,1,1
719,51,0,0,1,1,0,0,1,0,1
3507,27,0,1,0,1,0,0,1,0,1
30,49,1,7,3,1,0,0,1,0,1
6111,31,0,1,117,0,1,0,1,0,1
4162,22,0,1,1,1,0,0,1,1,1
