,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,y
502,1,47.67,2.5,2,7,5,2.5,1,1,12,1,2,410,2511,1
283,1,38.92,1.75,2,4,4,0.5,0,0,0,1,2,300,3,0
97,1,31.83,0.04,1,7,4,0.04,0,0,0,0,2,0,1,0
663,0,26.08,8.665,2,6,4,1.415,1,0,0,0,2,160,151,1
89,1,22.17,0.585,1,1,1,0.0,0,0,0,0,2,100,1,0
211,1,54.42,0.5,1,4,8,3.96,1,0,0,0,2,180,315,1
189,0,23.0,1.835,2,5,3,0.0,0,1,1,0,2,200,54,0
456,1,44.33,0.5,2,3,8,5.0,1,0,0,1,2,320,1,1
258,1,23.0,0.75,2,7,4,0.5,0,0,0,1,1,320,1,0
331,1,20.17,5.625,2,9,4,1.71,1,0,0,0,1,120,1,1
346,0,30.0,5.29,2,10,2,2.25,1,1,5,1,2,99,501,1
495,0,33.67,0.375,2,13,4,0.375,0,0,0,0,2,300,45,1
531,0,22.67,0.335,2,11,4,0.75,0,0,0,0,1,160,1,0
619,1,28.25,5.125,2,14,4,4.75,1,1,2,0,2,420,8,1
394,0,25.58,0.0,2,8,4,0.0,0,0,0,0,3,184,1,1
478,0,60.58,16.5,2,11,4,11.0,1,0,0,1,2,21,10562,1
337,1,39.58,5.0,2,1,1,0.0,0,1,2,0,2,17,2,0
411,0,21.08,5.0,1,1,1,0.0,0,0,0,0,2,0,1,0
589,1,29.83,2.04,1,14,8,0.04,0,0,0,0,2,128,2,0
68,1,31.25,2.835,2,1,1,0.0,0,1,5,0,2,176,147,0
529,0,17.92,0.54,2,8,4,1.75,0,1,1,1,2,80,6,0
30,1,27.0,0.75,2,8,8,4.25,1,1,3,1,2,312,151,1
40,1,23.17,0.0,2,13,4,0.085,1,0,0,0,2,0,1,1
528,0,23.58,0.585,1,1,1,0.125,0,0,0,0,2,120,88,0
60,1,43.17,5.0,2,3,5,2.25,0,0,0,1,2,141,1,0
458,1,34.42,1.335,2,3,5,0.125,0,0,0,1,2,440,4501,0
288,1,31.25,1.125,2,1,1,0.0,0,1,1,0,2,96,20,0
112,1,27.83,4.0,1,3,8,5.75,1,1,2,1,2,75,1,0
