,age,recidivated,number_of_prior_crimes,months_in_jail,felony,misdemeanor,woman,man,black,y
2263,45,1,19,1,1,0,0,1,0,1
4396,27,0,0,0,0,1,0,1,0,1
1293,24,0,0,0,0,1,0,1,0,1
1308,20,1,0,2,0,1,0,1,1,1
391,23,0,6,0,1,0,0,1,1,1
4889,61,0,0,1,1,0,1,0,0,1
1985,31,1,7,77,1,0,0,1,1,1
4948,41,1,9,0,0,1,1,0,0,1
6051,28,1,2,2,0,1,0,1,1,1
3789,33,0,2,258,1,0,0,1,1,1
3622,40,1,4,5,1,0,1,0,0,1
1112,27,1,4,1,1,0,0,1,1,1
3318,50,0,0,2,1,0,0,1,0,1
489,64,0,1,7,1,0,0,1,0,1
6012,33,0,2,1,0,1,0,1,1,1
3579,54,0,6,0,1,0,0,1,0,1
3840,27,1,7,0,1,0,0,1,0,0
848,36,0,5,0,1,0,0,1,1,1
1207,39,1,1,0,1,0,0,1,0,1
5300,28,1,2,0,1,0,0,1,1,1
3875,23,0,1,35,1,0,0,1,1,1
468,48,0,0,17,1,0,1,0,0,1
2147,48,0,0,27,1,0,0,1,0,1
3959,22,1,2,1,1,0,0,1,0,0
984,24,0,0,4,1,0,0,1,1,1
4035,37,1,6,1,1,0,0,1,0,1
615,42,0,1,0,1,0,0,1,0,1
2364,31,0,0,80,1,0,0,1,0,0
957,61,1,1,0,1,0,0,1,1,1
3573,22,0,0,0,0,1,1,0,0,1
1653,22,0,0,0,1,0,0,1,1,1
2551,47,0,0,0,0,1,1,0,1,1
4754,22,1,1,17,1,0,0,1,0,1
2423,26,1,2,4,1,0,0,1,1,1
5116,51,1,1,1,0,1,0,1,0,1
1183,28,1,0,0,1,0,1,0,0,1
2677,31,0,5,1,1,0,0,1,0,1
6021,69,0,5,1,1,0,1,0,0,1
425,27,0,2,0,1,0,0,1,0,1
1804,41,0,0,-1,0,1,0,1,0,1
3022,37,0,0,0,0,1,0,1,0,1
5974,64,0,0,1,0,1,0,1,1,1
5152,30,0,0,0,0,1,1,0,0,1
2137,25,0,2,18,1,0,0,1,1,1
5302,33,1,5,1,0,1,0,1,1,0
1566,30,0,11,117,1,0,0,1,1,0
2803,24,0,2,0,1,0,1,0,0,0
1790,22,0,3,128,1,0,0,1,1,1
