,age,recidivated,number_of_prior_crimes,months_in_jail,felony,misdemeanor,woman,man,black,y
739,24,0,0,2,1,0,0,1,1,1
1179,23,0,1,5,0,1,0,1,1,0
3180,23,0,0,1,1,0,0,1,1,1
4417,22,1,0,1,1,0,1,0,0,1
5806,29,0,1,2,1,0,0,1,0,1
5124,28,1,0,15,1,0,0,1,1,1
821,29,1,10,23,1,0,0,1,1,1
4227,23,1,0,0,0,1,0,1,0,1
5529,54,1,4,3,1,0,0,1,1,1
6003,36,1,14,2,1,0,0,1,1,0
2668,40,0,15,54,1,0,0,1,1,0
4182,36,1,13,2,1,0,0,1,1,0
1267,27,0,2,0,0,1,0,1,0,1
3234,26,0,1,-1,1,0,0,1,0,1
1459,26,1,0,0,0,1,0,1,1,1
964,34,0,14,3,1,0,1,0,1,0
362,24,1,3,0,1,0,0,1,0,0
5754,63,0,0,0,0,1,1,0,0,1
6107,25,1,7,3,0,1,0,1,0,1
1680,32,1,21,64,1,0,0,1,1,0
343,22,0,0,0,1,0,1,0,1,1
3140,33,1,2,0,1,0,0,1,1,0
6021,69,0,5,1,1,0,1,0,0,1
2316,23,1,3,35,0,1,0,1,0,0
1034,35,0,0,0,0,1,0,1,1,1
3522,20,0,0,0,0,1,1,0,1,1
2119,21,0,1,0,0,1,0,1,0,1
2756,51,0,2,0,0,1,1,0,0,1
5678,44,0,0,1,0,1,1,0,0,1
4144,51,0,2,24,1,0,0,1,1,1
1715,25,0,1,0,1,0,1,0,1,1
1284,53,0,0,0,0,1,0,1,0,1
1048,32,0,0,0,0,1,0,1,0,1
1956,31,1,7,54,1,0,0,1,1,1
3244,52,0,10,149,1,0,0,1,0,1
960,47,0,5,0,1,0,0,1,1,1
2935,50,0,2,1,1,0,0,1,0,1
4375,35,1,3,0,0,1,0,1,1,1
326,52,0,0,0,0,1,1,0,0,1
3455,23,0,4,3,1,0,0,1,1,0
5827,30,0,0,1,0,1,0,1,0,1
2482,24,0,6,1,1,0,0,1,0,0
884,53,0,0,0,0,1,1,0,0,1
873,46,0,0,0,1,0,0,1,0,1
1066,31,1,4,0,1,0,0,1,1,1
4810,45,1,0,1,1,0,0,1,0,1
208,53,0,1,1,0,1,0,1,0,1
2109,25,1,5,155,1,0,0,1,1,0
3725,30,0,4,29,1,0,1,0,0,1
1250,42,0,1,0,0,1,0,1,0,1
1392,55,1,3,36,1,0,0,1,0,1
3366,51,0,0,1,0,1,0,1,0,1
3655,20,1,0,1,1,0,0,1,0,1
2674,24,0,5,5,0,1,0,1,0,1
1552,22,0,0,2,1,0,1,0,0,1
2133,31,1,1,10,0,1,1,0,0,1
4814,21,1,0,0,0,1,0,1,1,1
4409,51,0,4,1,1,0,0,1,1,1
2138,23,1,5,32,0,1,0,1,0,0
13,37,0,0,0,0,1,0,1,0,1
2743,28,0,21,1,1,0,0,1,1,0
3314,32,1,1,3,0,1,0,1,1,1
4333,22,1,0,2,1,0,0,1,0,1
3849,23,0,1,-1,0,1,1,0,1,1
2185,67,0,0,0,1,0,0,1,0,1
370,25,1,2,0,1,0,0,1,0,1
4214,25,0,1,0,1,0,0,1,1,1
1643,26,1,8,0,1,0,0,1,1,0
1752,37,1,0,2,1,0,0,1,0,1
5176,31,0,1,1,1,0,0,1,0,1
4782,29,0,0,1,0,1,0,1,1,1
2349,38,1,8,9,0,1,0,1,1,1
860,33,0,1,1,1,0,0,1,1,1
849,69,0,0,0,0,1,0,1,0,1
2217,21,1,1,1,1,0,0,1,1,0
5339,57,0,2,0,1,0,1,0,0,1
6141,51,1,7,3,0,1,0,1,1,1
4739,30,1,18,1,0,1,0,1,1,0
316,42,0,1,4,1,0,0,1,1,1
4728,25,0,7,18,1,0,0,1,1,1
4438,52,0,0,-1,0,1,1,0,1,1
920,49,0,0,0,1,0,0,1,0,1
5386,36,1,9,0,1,0,1,0,0,1
5515,29,1,0,3,0,1,0,1,0,1
2085,34,0,0,2,1,0,0,1,1,1
4432,20,0,0,30,1,0,0,1,1,0
1957,30,1,14,5,1,0,1,0,1,0
1734,21,1,0,0,0,1,0,1,0,1
5916,31,0,0,67,1,0,0,1,0,1
5078,34,0,1,1,0,1,0,1,0,1
674,23,0,0,1,0,1,1,0,0,1
459,47,0,1,0,0,1,0,1,0,1
5048,55,0,7,0,1,0,0,1,0,0
4610,51,1,8,1,1,0,0,1,0,1
3192,20,1,0,23,0,1,0,1,0,1
367,36,0,2,0,0,1,0,1,0,1
391,23,0,6,0,1,0,0,1,1,1
4012,33,0,1,0,1,0,1,0,1,1
4414,25,1,2,0,1,0,0,1,0,1
1559,58,0,0,0,0,1,0,1,0,1
241,46,0,3,14,1,0,0,1,0,1
5873,52,1,17,29,1,0,0,1,1,1
882,35,1,1,1,0,1,0,1,1,0
822,54,1,4,78,0,1,0,1,1,1
3888,29,0,0,28,1,0,1,0,0,1
994,34,0,0,0,0,1,0,1,0,1
2210,37,0,0,0,0,1,0,1,0,1
84,44,0,0,1,0,1,1,0,0,1
222,39,0,0,0,1,0,0,1,0,1
1713,26,0,0,0,0,1,0,1,1,1
5393,53,1,9,117,1,0,0,1,0,1
4572,61,1,1,4,1,0,0,1,0,1
2602,21,0,0,1,1,0,0,1,1,0
2973,56,1,3,1,0,1,0,1,1,1
5219,47,0,3,1,1,0,0,1,1,1
466,58,0,6,144,1,0,0,1,1,1
4748,31,1,3,0,0,1,0,1,0,1
441,52,0,4,1,0,1,0,1,1,1
3701,43,0,0,3,1,0,0,1,1,1
3278,26,0,0,1,0,1,0,1,1,1
803,25,1,2,0,0,1,0,1,1,1
